Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Mode
ORD10001,2025-04-13,CUST1228,Customer 1228,West,Goa,Margao,Office Supplies,Stationery,Premium Notebook,3,328.54,0.15,837.77,96.03,Net Banking
ORD10002,2025-12-15,CUST1114,Customer 1114,North,Punjab,Amritsar,Office Supplies,Stationery,Gel Pen Pack,3,169.32,0.2,406.36,12.34,UPI
ORD10003,2025-09-28,CUST1237,Customer 1237,West,Goa,Margao,Electronics,Headphones,SoundMax Pro,3,4526.54,0.05,12900.63,1376.88,Net Banking
ORD10004,2025-04-17,CUST1141,Customer 1141,South,Karnataka,Bengaluru,Electronics,Headphones,SoundMax Pro,1,4814.33,0.05,4573.61,834.18,Net Banking
ORD10005,2025-03-13,CUST1174,Customer 1174,West,Maharashtra,Kolhapur,Electronics,Accessories,Wireless Mouse,1,1163.2,0.05,1105.04,37.27,Debit Card
ORD10006,2025-07-08,CUST1210,Customer 1210,East,West Bengal,Durgapur,Furniture,Chairs,Ergo Chair,1,9002.58,0.1,8102.32,718.55,Credit Card
ORD10007,2025-01-21,CUST1161,Customer 1161,West,Maharashtra,Mumbai,Office Supplies,Paper,A4 Paper Box,3,541.97,0.0,1625.92,69.4,Credit Card
ORD10008,2025-04-13,CUST1021,Customer 1021,South,Tamil Nadu,Coimbatore,Electronics,Laptops,AeroBook 14,3,59498.3,0.1,160645.41,19693.34,UPI
ORD10009,2025-05-02,CUST1208,Customer 1208,East,Odisha,Bhubaneswar,Furniture,Storage,Filing Cabinet,2,6295.54,0.0,12591.08,305.23,UPI
ORD10010,2025-08-03,CUST1079,Customer 1079,North,Uttar Pradesh,Kanpur,Office Supplies,Stationery,Gel Pen Pack,4,168.53,0.0,674.13,149.86,Debit Card
ORD10011,2025-11-27,CUST1246,Customer 1246,West,Maharashtra,Pune,Office Supplies,Stationery,Premium Notebook,5,362.8,0.05,1723.28,78.37,Credit Card
ORD10012,2025-03-29,CUST1185,Customer 1185,North,Uttar Pradesh,Lucknow,Furniture,Chairs,Ergo Chair,1,8091.55,0.05,7686.97,153.74,UPI
ORD10013,2025-04-10,CUST1069,Customer 1069,West,Gujarat,Vadodara,Appliances,Home,Air Purifier,3,15180.75,0.05,43265.14,4847.73,UPI
ORD10014,2025-12-26,CUST1070,Customer 1070,South,Karnataka,Mysuru,Appliances,Home,Air Purifier,4,15504.21,0.05,58916.01,15157.77,Net Banking
ORD10015,2025-06-01,CUST1230,Customer 1230,West,Maharashtra,Kolhapur,Electronics,Accessories,Wireless Mouse,2,1243.29,0.05,2362.25,442.41,Credit Card
ORD10016,2025-05-11,CUST1067,Customer 1067,West,Gujarat,Vadodara,Appliances,Kitchen,Mixer Grinder,2,3940.09,0.0,7880.18,200.46,Net Banking
ORD10017,2025-05-30,CUST1048,Customer 1048,West,Gujarat,Ahmedabad,Furniture,Storage,Filing Cabinet,3,6698.13,0.05,19089.66,830.04,UPI
ORD10018,2025-11-05,CUST1204,Customer 1204,East,Odisha,Bhubaneswar,Furniture,Chairs,Ergo Chair,6,8479.7,0.2,40702.56,1722.04,Credit Card
ORD10019,2025-09-15,CUST1228,Customer 1228,North,Punjab,Amritsar,Furniture,Storage,Filing Cabinet,5,6844.42,0.05,32510.99,9564.24,UPI
ORD10020,2025-12-10,CUST1161,Customer 1161,West,Gujarat,Surat,Appliances,Kitchen,Mixer Grinder,3,4413.94,0.05,12579.72,902.89,Credit Card
ORD10021,2025-10-21,CUST1036,Customer 1036,South,Karnataka,Bengaluru,Electronics,Laptops,AeroBook 14,4,58743.05,0.1,211474.97,10539.5,Debit Card
ORD10022,2025-07-11,CUST1161,Customer 1161,East,Odisha,Bhubaneswar,Electronics,Laptops,AeroBook 14,2,65053.69,0.2,104085.9,18414.88,UPI
ORD10023,2025-10-04,CUST1159,Customer 1159,East,West Bengal,Durgapur,Office Supplies,Paper,A4 Paper Box,4,536.05,0.0,2144.19,372.32,Credit Card
ORD10024,2025-06-10,CUST1149,Customer 1149,East,West Bengal,Durgapur,Appliances,Home,Air Purifier,3,15638.56,0.1,42224.11,7968.11,Debit Card
ORD10025,2025-11-10,CUST1027,Customer 1027,East,Odisha,Cuttack,Appliances,Kitchen,Electric Kettle,2,1857.46,0.1,3343.44,214.32,Debit Card
ORD10026,2025-01-22,CUST1219,Customer 1219,North,Punjab,Amritsar,Electronics,Headphones,SoundMax Pro,4,4436.65,0.1,15971.95,1723.14,Debit Card
ORD10027,2025-09-10,CUST1072,Customer 1072,West,Maharashtra,Mumbai,Appliances,Home,Air Purifier,3,14603.23,0.0,43809.68,11044.17,UPI
ORD10028,2025-08-24,CUST1248,Customer 1248,West,Gujarat,,Office Supplies,Binders,Document Binder,2,266.9,0.1,480.41,50.38,Credit Card
ORD10029,2025-12-11,CUST1101,Customer 1101,South,Tamil Nadu,Coimbatore,Electronics,Mobiles,Nova X5,6,28110.53,0.0,168663.19,40245.35,Net Banking
